locus_tag,gene, protein_length, gene_length
new945417945519,S303, ,103
BSU01600,ybbA,250,753
BSU33650,yvzC,77,234
BSU30810,ytxM,274,825
BSU17290,ebrB,117,354
BSU40700,yybB,220,663
BSUtRNA29,trnD-Asn, ,75
new13567751357416c,S461, ,642
new15750981575233,S553, ,136
BSU09050,yhcE,253,762
BSU25800,yqcK,146,441
new37838023783877c,S1424, ,76
BSU30560,pckA,527,1584
BSU30739,ytzL,52,159
BSU10660,hlpB,100,303
BSU18600,yozQ,97,294
new559362560150c,S180, ,789
new16835081683660,S583, ,153
BSU01150,rpsJ,102,309
BSU31322,yugO,328,987
BSU10140,hemY,470,1413
BSU25500,hemN,379,1140
new39713403971882c,S1485, ,543
BSU29600,braB,445,1338
BSU39320,yxiB,121,366
BSU34150,ganP,418,1257
BSU40360,htrC,400,1203
BSU27070,levD,146,441
new25918662591960c,S942, ,95
BSU03360,zagA,397,1194
BSU33830,opuCA,380,1143
BSU29750,aroA,358,1077
BSU20970,yonX,168,507
BSU17099,BSU17099, , 
BSU10740,yisJ,307,924
BSU04370,ydaS,85,258
new20418282041927c,S701, ,100
BSU39760,iolA,487,1464
BSU10120,hemE,353,1062
BSU05830,gmuC,442,1329
BSU12050,yjdH,131,396
new23399542340289,S843, ,336
BSU36460,ywoF,468,1407
BSU35410,flgK,507,1524
BSU23190,dacB,382,1149
BSU33860,yvbH,204,615
new31240233124157c,S1164, ,135
BSU32220,nfu,111,336
BSU33800,opuCD,229,690
BSU12900,htrA,449,1350
BSU33960,araE,464,1395
BSU35000,hprK,310,933
BSU12180,yjhA,213,642
BSU22780,folE,190,573
new23294502329514c,S837, ,65
BSU25660,aroD,280,843
BSU25650,yqeI,96,291
new26928522692932c,S982, ,81
BSU07170,yetI,192,576
BSU22036,fbpC,29,90
BSU09020,yhcB,176,531
BSU12130,yjfC,299,900
BSU35910,rbsR,326,981
BSU00160,yaaH,427,1284
BSU16700,swsB,319,960
BSU18978,bsrE, ,135
BSU01960,skfF,448,1344
BSU12980,ykfB,366,1101
BSU21130,yonD,478,1437
BSU04050,pxpA,257,774
BSU41010,gidA,628,1887
BSU05980,tatAY,57,174
BSU15650,yloB,890,2673
BSU30760,mntB,250,753
BSU19140,ctaM,178,537
BSU31680,comA,214,645
new12171801217287,S405, ,108
new27087002708787c,S988, ,88
BSU12770,xkdX,54,165
BSU39890,yxbB,244,735
BSU25590,comEA,205,618
new31050443105139c,S1156, ,96
BSU29660,rpsD,200,603
BSU30520,ytoA,171,516
BSU03090,ycgF,209,630
BSU18580,yoaF,97,294
BSU31430,yugE,86,261
BSU19479,yoyC,92,279
BSU20480,yoqX,73,222
BSU39580,yxeE,121,366
BSU38500,dltA,503,1512
BSU32870,mdtR,155,468
BSU33000,htrB,458,1377
new12338771235778,S416, ,1902
BSU18680,yoaO,162,489
BSU36510,nrgA,404,1215
BSU15150,ftsL,117,354
new17314471731511,S591, ,65
new35461113546186,S1318, ,76
BSU08330,lnrN,385,1158
BSU40190,fbp,671,2016
BSU21640,yokC,171,516
new30954563095548c,S1155, ,93
BSU26010,yqbQ,326,981
BSU26700,azlD,110,333
BSU09889,yhzD,61,186
BSU13150,ohrR,147,444
new20211452021230,S686, ,86
BSU21920,ugtP,382,1149
BSU07760,yfkT,358,1077
new20841242084188,S729, ,65
new282233283231c,S98, ,999
new17315131731580,S592, ,68
BSU31570,nupQ,319,960
new292874293464,S100, ,591
BSU28560,lcfA,560,1683
BSUtRNA22,trnE-Asp, ,77
BSUtRNA65,trnB-Asp, ,77
BSU00850,mcsB,363,1092
BSU04520,ydbM,381,1146
BSU06510,purN,195,588
BSU30930,ytaB,155,468
BSU06540,yezC,139,420
new30891503089225c,S1154, ,76
new213878213940,S77, ,63
BSU27085,BSU27085, , 
new23495292349600c,S848, ,72
BSU35660,mnaA,380,1143
BSU17860,yneA,105,318
BSU16620,rplGA,100,303
BSU37620,rsfA,258,777
BSU39140,yxiK,153,462
BSU03385,BSU03385, , 
new14391361439227,S493, ,92
BSU00100,dacA,443,1332
BSU22880,ypfD,382,1149
new10770241077320c,S357, ,297
new12910031291419c,S447, ,417
BSU00640,spoIIE,827,2484
BSU19380,yojO,638,1917
BSU17010,ymcB,509,1530
BSU31750,pncB,490,1473
BSU37530,ywhC,219,660
BSU37080,rho,427,1284
BSU07790,yfkQ,513,1542
BSU35830,ywtG,457,1374
BSU10580,yhjO,401,1206
BSU11410,yjbA,250,753
new36026573602942,S1335, ,286
new11881251188650,S395, ,526
BSUmiscRNA46,L-boxriboswitch, ,180
new36025483602655,S1334, ,108
BSU33280,yvrP,397,1194
BSU32180,yutK,404,1215
new39572523958479c,S1481, ,1228
BSU04260,topB,727,2184
BSU22060,pbuX,438,1317
BSU07700,nagP,452,1359
new26926082692913,S981, ,306
BSU26950,yraG,81,246
BSU40358,BSU40358, , 
BSU32539,BSU32539, , 
BSU29930,amyX,718,2157
new20938162094009c,S734, ,194
BSUmiscRNA22,qswA, , 
BSU31030,bstB,162,489
BSU37170,acdA,379,1140
BSU22050,bpsA,365,1098
new220105220278,S79, ,174
new30355323035729,S1135, ,198
BSU38320,ywbH,128,387
BSU04100,kipR,250,753
new27454802745593c,S1012, ,114
new239556239643c,S86, ,88
BSU01470,ybaF,265,798
BSU33380,yvgL,260,783
BSU21980,ypdP,229,690
BSU39460,yxeQ,445,1338
BSU33530,iolW,358,1077
new17644731764599,S604, ,127
BSU21290,yomN,139,420
BSU07340,mtrA,461,1386
BSUtRNA44,trnD-Leu2, ,82
BSU01270,rplX,103,312
BSU12400,yjnA,254,765
BSU02890,yceC,199,600
new17187001718774,S587, ,75
BSU11240,carB,1030,3093
BSU40080,gntZ,468,1407
BSU16540,cdsA,269,810
new26914972692644c,S980, ,1148
BSU19580,yodF,496,1491
new200188200276,S69, ,89
BSUmiscRNA90,apbT, , 
BSU16200,fliE,106,321
BSU38340,ywbF,399,1200
BSU07580,citS,542,1629
BSU27740,ruvA,201,606
BSU36180,ywqK,154,465
new17392381739323,S595, ,86
new1919419923c,S13, ,730
BSU35090,yvmA,403,1212
BSU28860,rpmI,66,201
new32666373269004,S1224, ,2368
BSU40410,walR,235,708
BSU38980,scoB,216,651
BSU40250,yycR,408,1227
BSU21120,yonE,506,1521
BSU25610,yqeM,247,744
BSU27820,yrbC,240,723
BSU36360,mscL,130,393
BSU20790,yopR,325,978
new14789871479136,S510, ,150
new39433223944525c,S1477, ,1204
new21264422126548,S753, ,107
BSU11220,argD,385,1155
BSU12950,dppD,335,1008
new5311153182,S30, ,72
BSU26650,czcD,311,936
BSU34390,pnbA,489,1470
BSU14380,fruR,251,756
BSU14110,ykuK,172,519
BSU25970,yqcA,192,579
new32221233222194c,S1196, ,72
BSU07500,fecE,333,1002
BSU37120,fbaA,285,858
BSU38700,sigY,178,537
new33196083320300c,S1248, ,693
BSU36880,atpI,127,384
BSU28850,rplT,119,360
new520162520750c,S165, ,589
new732824732898c,S238, ,75
BSU38030,ywdA,82,249
BSU01110,rpsG,156,471
BSU28080,folC,430,1293
new15281001528325,S531, ,226
new13574861357852c,S462, ,367
new33880003388112,S1271, ,113
new826093826718,S258, ,626
new23546732354880c,S852, ,208
BSUmiscRNA27,BSUmiscRNA27, ,118
BSU26100,yqbI,167,504
BSU29570,sspA,69,210
new36465373646664c,S1356, ,128
BSU39190,yxiG,138,417
BSU19579,yoyD,66,201
new15165081516573c,S524, ,66
BSU02720,yccF,358,1077
BSU08540,yfhI,397,1194
BSU25280,recO,255,768
new11168571117712c,S365, ,856
new32922973292406c,S1228, ,110
BSU15790,rpeA,217,654
BSU19460,bshB2,221,666
new36699593672791,S1367, ,2833
new20184352018531c,S685, ,97
new42131864215471,S1579, ,2286
BSU30720,ythB,346,1041
BSU28450,sdhC,202,609
BSU29310,cmoJ,442,1329
BSU23240,ribT,124,375
BSU08450,yfiZ,333,1002
BSU02110,ybyB,86,261
BSU38550,ywaA,363,1092
new36282413628309c,S1348, ,69
BSU03480,srfAA,3588,10764
BSU26770,yrdB,123,372
BSU18390,yoeC,181,546
BSU03670,dtpT,492,1479
BSU16280,flgD,140,423
BSUtRNA73,trnSL-Gln1, ,71
BSU11600,sasB,211,636
BSU12620,xkdH,118,357
BSU37020,ywkD,128,387
BSU39420,dra,223,672
BSU11055,yitO,309,930
new16557881655880c,S575, ,93
new16764631676531,S581, ,69
BSU33770,sdpC,203,612
new36809713681105c,S1374, ,135
new510862511036,S157, ,175
new19255401925623c,S666, ,84
new33645443364617c,S1262, ,74
BSU31820,yuzF,78,237
new10946511095022,S360, ,372
BSU08600,csbB,329,990
BSU32590,frlN,292,879
BSU17030,cotE,181,546
BSU18140,ynfE,87,264
new30315243031613,S1126, ,90
BSU22100,kdgA,196,591
BSU26840,sigZ,176,531
BSU12280,yjlC,140,423
BSU40850,maa,184,555
new24709272471001c,S901, ,75
BSU12040,yjdG,168,507
BSU35400,flgL,298,897
BSU00130,serS,425,1278
BSU08010,yfjP,287,864
new21586852158869,S767, ,185
BSU11210,argB,258,777
new15862411586329,S557, ,89
BSU13950,mcpC,655,1968
BSU33410,yvgO,161,486
BSU05640,ydgG,152,459
new17801231780617c,S611, ,495
new23052612305347,S825, ,87
BSU15860,sdaAA,300,903
new19264521926585,S667, ,134
BSU37330,argS,556,1671
BSUmiscRNA70,srrA, , 
new19057061905808,S647, ,103
new368964369186,S123, ,223
new18683751868451,S620, ,77
new796008796313,S250, ,306
BSU38580,licC,452,1359
BSU37360,sboX,50,153
BSU33820,opuCB,217,654
BSU18849,yozV,79,240
BSU00020,dnaN,378,1137
new30315253032084c,S1127, ,560
BSU08970,prkA,631,1896
BSU14880,ctaB,305,918
BSU34480,yvdT,194,585
BSU04680,rsbS,121,366
new21277402127812,S754, ,73
new909747909826c,S285, ,80
BSU31040,yuaD,192,579
new34044383404707c,S1276, ,270
BSU01480,truA,247,744
BSU22830,gpsA,345,1038
BSU15760,prpC,254,765
new32275023227580,S1203, ,79
BSU26350,sknR,116,351
new16124281612520,S567, ,93
BSU16570,proS,564,1695
BSU00080,yaaC,315,948
new13342481334338,S457, ,91
BSUmiscRNA30,BSUmiscRNA30, , 
BSU02160,ybfA,305,918
BSU20700,yoqA,116,351
new36670173667208c,S1365, ,192
BSU33320,fhuD,315,948
BSU03060,lctP,541,1626
new27885702788634,S1034, ,65
BSU38560,licH,442,1329
BSU06870,yesE,147,444
BSU27920,obg,428,1287
new303797304377,S103, ,581
new38021673802257c,S1434, ,91
BSU17220,pksR,2543,7632
BSUtRNA42,trnD-Cys, ,71
BSU35240,ctpB,480,1443
new31460903146171c,S1175, ,82
BSU14950,ylbB,148,447
BSU40800,yyaN,138,417
BSU04740,rsbX,199,600
BSU12960,dppE,549,1650
new13859381386023c,S471, ,86
BSU32210,yuzD,108,327
new21353882135469c,S755, ,82
BSUmiscRNA85,srbL, , 
BSU36480,ywoD,452,1359
BSU13310,tnrA,110,333
new10714891071740,S347, ,252
BSU30510,ytpA,259,780
BSU17140,pksF,416,1248
G8J2-20,cmpA, , 
BSU32669,yuzN,92,279
BSU16670,ribC,316,951
BSU18979,yoyA,99,300
BSU36739,BSU36739, , 
BSU22205,BSU22205, , 
BSU27590,dtd,132,399
BSUmiscRNA77,asrG, , 
BSU35740,tagD,129,390
BSU30060,ytfP,420,1263
BSU38520,dltC,78,237
BSU02910,yceE,192,579
new12268581226937,S408, ,80
BSU00760,pabC,293,882
BSUtRNA75,trnSL-Glu2, ,75
BSU03651,bsdD,75,228
new37610463761954c,S1408, ,909
BSU13140,ohrA,141,426
new17670351767134,S606, ,100
BSU00860,clpC,810,2433
new29661402966287c,S1091, ,148
BSU35860,pgdS,413,1242
BSU08760,spo0M,258,777
BSU35900,capB,393,1182
BSU13690,motA,270,813
BSU20930,yopD,131,396
new2565525851,S16, ,197
new10731101073875,S352, ,766
BSU11550,yjbH,299,900
BSU16960,rny,520,1563
BSU36850,atpF,170,513
BSU35590,tuaC,389,1170
new37124843712616,S1385, ,133
BSU12530,xkdC,266,801
BSUmiscRNA72,surA, ,280
new529454530352,S169, ,899
BSU01340,rpmD,59,180
BSU32890,yusQ,127,384
BSU04359,ydzK,88,267
new40053244006049c,S1502, ,726
BSU30170,ytcP,286,861
BSU11670,thiO,369,1110
new567551567661,S182, ,111
BSU18460,gltC,300,903
new41665894166725c,S1560, ,137
BSU27970,spoIVFB,288,867
BSU35730,tagE,673,2022
new19031651903471c,S644, ,307
BSU33360,yvgJ,617,1854
BSUrRNA13,rrnE-5S, ,117
BSU35140,yvkN,76,231
,SR6, , 
BSU13980,pbpH,685,2058
BSU33140,yvqJ,422,1269
BSU01540,salA,352,1059
BSU14800,ylaJ,209,630
BSU16030,trmD,243,732
BSU28160,hemX,276,831
BSU02100,cypC,417,1254
new535832536095,S172, ,264
BSU18920,phrK,40,123
BSU29830,ytpQ,269,810
BSU09900,yhaP,419,1260
BSU16440,cheW,156,471
BSU16600,nusA,371,1116
BSU05080,yddR,254,765
new23063332306513,S826, ,181
BSUtRNA84,trnSL-Arg2, ,74
BSUtRNA56,trnB-Gly1, , 
BSU32690,sufS,406,1221
BSU24000,bmrU,297,894
BSU39900,yxbA,89,270
new33642923364396c,S1261, ,105
new29809882981070c,S1099, ,83
BSU07980,pdaA,263,792
BSUmiscRNA15,BSUmiscRNA15, ,121
BSU34900,hisB,194,585
BSU32760,yusD,114,345
BSU11990,yjdB,115,348
BSU11310,comZ,63,192
BSU22120,kdgR,339,1020
BSU36560,ywnH,163,492
BSU08570,yfhK,172,519
BSU07480,yfmG,487,1464
new14117731411859,S480, ,87
BSU24670,comGG,124,375
BSUmiscRNA74,SR5, ,154
BSU40610,yybK,251,756
new37699573770070c,S1417, ,114
BSU16140,codV,304,915
BSU17710,tatAC,62,189
new36991523701361,S1382, ,2210
BSU14120,abbA,65,198
BSU26829,BSU26829, , 
BSU04760,ydcG,146,441
BSU24870,yqgP,507,1524
new37961583796216c,S1432, ,59
new31069963107052,S1160, ,57
new20742222074617c,S722, ,396
BSU18160,xynD,513,1542
BSU22110,kdgK,324,975
new20988972099422c,S740, ,526
BSU11139,yizC,65,198
BSU28650,ysgA,248,747
new25175852517755c,S912, ,171
BSU26420,yrkQ,432,1299
BSU26550,yrkD,63,192
new21063162107474c,S746, ,1159
new27168852718889c,S997, ,2005
BSU37840,spsI,246,741
BSU03630,bsdB,204,615
BSU24380,spoIIIAF,206,621
BSU28550,fadR,194,585
new35776203577744c,S1328, ,125
BSUtRNA20,trnJ-Ala, ,76
new820648820823,yfmH, ,176
new20469202046979c,S704, ,60
BSU15440,ylyA,124,375
BSU14850,ftsW,403,1212
BSU27050,levF,269,810
BSU23070,serA,525,1578
new14547951455013c,S503, ,219
BSU19090,yobU,160,483
new591895592302c,S187, ,408
BSU09490,yhdJ,142,429
BSU28740,araP,313,942
BSU08260,yfiG,482,1449
BSU23990,brxB,145,438
BSU20840,yopM,66,201
BSU18669,yozS,101,306
BSU29410,ytkL,227,684
BSU13920,splA,79,240
BSU39640,yxdL,257,774
BSU29760,brxC,108,327
new822331822824,S256, ,494
BSU21840,ypjP,203,612
new739577739877,S241, ,301
BSU30220,bioF,389,1170
new41735524173628,S1565, ,77
BSU25830,rapE,375,1128
new41552104155306c,S1555, ,97
new38032823803359c,S1435, ,78
new148755148930,S56, ,176
new31537183153830c,S1176, ,113
BSU36020,alsR,302,909
BSU21560,yokK,192,579
BSU15630,ylnF,162,489
BSUtRNA13,trnJ-Thr, ,76
BSU26690,brnQ,440,1323
BSU08710,gsaB,429,1290
BSU02360,gamA,249,750
new42128904213020c,S1578, ,131
BSU24980,pstC,309,930
BSU22420,panC,286,861
BSU35260,ftsE,228,687
BSU24640,tapA,253,762
BSU15080,rpmF,59,180
BSU14930,ctaG,297,894
BSUrRNA5,rrnA-23S, ,2927
BSU17400,ymaB,206,621
BSU38040,sacA,480,1440
BSUrRNA3,rrnO-5S, ,119
BSU21790,trhA,213,642
BSU23329,ypuC/1,84,255
BSU34010,yvbW,447,1344
new23006972300761c,S822, ,65
BSU32410,pucH,446,1341
BSU13700,clpE,699,2100
BSU27410,alaS,878,2637
BSU18520,yoxB,256,771
BSU38790,yxzE,66,201
BSU28000,minC,226,681
BSU10160,yhgE,775,2328
new12275171227631,S409, ,115
BSU26360,yqaD,55,168
new20928172093011,S732, ,195
BSU00960,yacO,249,750
BSU37350,sboA,43,132
new29362102936381c,S1084, ,172
new11571701157236,S387, ,67
BSU21280,yomO,166,501
new839062840126,S265, ,1065
new29759482976067c,S1097, ,120
BSU25330,pgpH,711,2136
BSU21870,ilvD,558,1677
BSU15920,acpA,77,234
BSU09320,yhcY,379,1140
new117712117889,S48, ,178
new11249791125122c,S371, ,144
new34303443430495c,S1281, ,152
BSU23980,artP,255,768
BSU39260,bglH,469,1410
BSU04970,cwlT,329,990
BSU08270,yfiH,313,942
BSU36260,tkmA,248,747
new14252811425598,S486, ,318
new861494861585c,S274, ,92
BSU23220,scpA,251,756
BSU16220,fliG,338,1017
BSU40900,ssbA,172,519
BSU14780,ylaH,105,318
new23379972338147,S841, ,151
BSU27730,ruvB,334,1005
BSU24070,buk,363,1092
BSU30380,bceA,253,762
BSU24850,glcK,321,966
BSU04870,nicK,352,1059
new25047072504788c,S910, ,82
new25448412545385c,S920, ,545
BSUmiscRNA57,tboTB, , 
BSU21230,yomT,75,228
new15991791599282,S561, ,104
BSU16990,tdh,347,1044
new19228241923123,S662, ,300
BSU20150,yosE,115,348
BSU00630,yabR,128,387
BSUtRNA15,trnJ-Leu1, ,83
BSU05660,ydgI,209,630
BSU07000,rhiN,344,1035
BSU36400,flhO,270,813
BSU30830,menF,471,1416
new28512862851995,S1057, ,710
BSU06910,cotJC,189,570
BSU40100,ahpF,509,1530
BSU24660,spoIIIL,59,180
BSU06030,groEL,544,1635
BSU35510,yvyE,217,654
BSU35010,nagA,396,1191
new36699123670034c,S1366, ,123
BSU15970,ylxM,110,333
BSU15890,plsX,333,1002
BSU09570,yhdR,393,1182
BSU01420,rpsK,131,396
BSU05550,cotP,143,432
BSU28240,ddcA,334,1005
new29687172968823,S1095, ,107
BSU20460,pghZ,274,825
BSU10240,yhfI,244,735
BSU22990,ypbF,147,444
BSU00460,ispE,289,870
BSU21010,yonS,203,612
BSU38290,thiE,222,669
new877404877496,S281, ,93
BSU30190,bioI,395,1188
BSU15450,lspA,154,465
new27600772760232c,S1019, ,156
BSU12500,xkdA,198,597
BSU27680,yrbG,218,657
BSU07040,yesV,208,627
new34216353422223c,S1280, ,589
BSU20580,yoqM,92,279
BSU28430,sdhB,253,762
BSU30410,ytrF,436,1311
new10186501018937,S328, ,288
BSU21229,youA,203,612
BSU26280,yqaK,284,855
BSU12150,yjgB,191,576
BSU11760,cotX,172,519
BSU18100,parC,806,2421
new19325021932632,S671, ,131
BSU00830,ctsR,154,465
new33856993386762c,S1269, ,1064
BSU16170,codY,259,780
BSU14130,darB,147,444
BSU21780,yplP,331,996
BSU37830,spsJ,315,948
BSU36420,spoIIID,93,282
BSU17266,ymzE/1,18,54
BSU10610,yhjR,145,438
BSU22849,ypzH,64,195
BSU40540,hypR,125,378
BSU29280,ytnM,300,903
BSU34070,yvfT,328,987
BSU10560,ntdR,329,990
BSU35760,tagB,381,1146
new34587823459775c,S1289, ,994
BSU23210,scpB,197,594
BSU25030,yqgC,160,483
BSU13600,mtnX,235,708
BSU14340,yknW,231,696
new17196571719801,S588, ,145
new23097872310176c,S831, ,390
BSU36920,ywlF,149,450
BSU25040,yqgB,255,768
BSU33350,yvsG,160,483
BSU20220,yorX,75,228
BSU25950,yqcC,366,1101
new22027172202804c,S780, ,88
BSU25540,gpr,368,1107
BSU32960,yusY/1,502,1509
BSU11730,cotO,227,684
BSU17620,yncB,211,636
BSU08850,ssuC,276,831
BSUmiscRNA5,glmSribozyme, ,171
BSU29150,ytwI,154,465
BSU06811,yezG,151,456
BSU31170,iolU,328,987
BSU34380,slrR,152,459
BSU15690,yloH,67,204
BSU36980,ywlA,120,363
BSU24260,yqxC,281,846
BSU06140,gutR,829,2490
BSUmiscRNA86,srlX, , 
BSU15610,ylnD,257,774
BSU34110,rsbP,403,1212
BSU18510,yoxC,101,306
BSUtRNA77,trnSL-Tyr1, ,85
new40913104091407c,S1531, ,98
new24679792468158c,S899, ,180
new35136283513886,S1311, ,259
BSU31090,ktrA,222,669
new12810241281127,S445, ,104
BSUrRNA20,rrnB-23S, ,2928
new621713621846,S202, ,134
BSU17840,fosB,144,435
BSU22930,sleB,305,918
BSU19430,cdaS,207,624
BSU13710,ykvI,347,1044
BSU23800,proI,278,837
new10719731072041c,S350, ,69
BSU09010,yhcA,532,1599
BSU14660,ykzI,62,189
BSU03340,folEB,305,915
BSU15620,sirB,261,786
BSU14640,yktA,88,267
BSU20120,yosH,156,471
new17546421754742,S602, ,101
new19017381901854,S642, ,117
new31954663195557c,S1189, ,92
new11716431171754c,S394, ,112
BSU28600,yshB,177,534
new26645342664730,S974, ,197
BSU06200,ydjH,254,765
BSU13580,mtnE,398,1197
new15861721586239,S556, ,68
BSU16900,ymfK/2,112,339
BSU20330,yorM,238,717
new11292721129714,S374, ,443
new14468411447052,S499, ,212
BSU02170,ybfB,416,1251
new35358213536011,sacBleaderRNA, ,191
new18932461893320,S635, ,75
BSU39700,iolG,344,1035
BSU35820,gerBC,374,1125
BSU35370,csrA,74,225
BSU08870,ygaN,178,537
BSU17360,ymzA,76,231
BSU03600,tcyB,234,705
new16300171630089,S568, ,73
BSU05690,ydhB,245,738
BSU27770,yrbE,341,1026
BSU06720,dgkB,303,912
new490705490776c,S146, ,72
new31322203132310c,S1168, ,91
BSU01190,rplB,277,834
BSU39920,asnH,747,2244
BSU20490,yoqW,224,676
BSU17260,aprX,442,1329
new19378761938065c,S673, ,190
BSUtRNA27,trnI-Pro, ,77
new12044231204697c,S399, ,275
BSU11560,yjbI,132,399
BSU13540,ogt,165,498
new16700541671124c,S578, ,1071
new14858971486004,S517, ,108
BSU32160,sufA,120,363
new26038682603981c,S953, ,114
new30364103036583,S1137, ,174
BSU16500,tsf,293,882
BSU29450,argG,403,1212
new508090508247,S156, ,158
BSU11860,yjcH,240,723
BSU18950,yozL,97,294
BSU32849,yuzL,48,147
BSU34940,yvpB,250,753
BSU23410,spoVAD,338,1017
BSU14580,pdhA,371,1116
BSU25580,comEB,189,570
new13959111396012,S474, ,102
BSU03660,yclE,281,846
BSU00750,pabA,194,585
BSU35280,yvjA,281,846
BSU36670,csbD,62,189
BSU11150,yitV,255,768
BSU25670,yqeH,366,1101
new12982241298337,S450, ,114
BSU12060,yjdI,159,480
new873289873401,S277, ,113
BSU31960,dhbF,2378,7137
BSU07930,yfkD,264,795
BSU00170,yaaI,181,546
BSU28645,BSU28645, , 
new11208291120947c,S368, ,119
BSU09390,ygxB,552,1659
new33013843301448c,S1239, ,65
BSU11680,thiS,66,201
BSU17559,ynzI,54,165
BSU09030,yhcC,124,375
new39234783923862,S1475, ,385
BSU10390,yhfW,509,1530
BSU04300,ydaM,420,1263
BSU21000,yonT,58,177
BSU39820,htpG,626,1881
BSU27670,spoVB,518,1557
BSU17780,yndG,268,807
BSU09350,yhdB,80,243
new996597997083c,S319, ,487
new41803784180481c,S1568, ,104
new519561520160c,S164, ,600
BSU14370,yknZ,397,1194
new24096362409728,S874, ,93
BSU30990,thiT,192,579
BSU05800,pbuE,388,1167
new41856824186509c,S1570, ,828
new14677011467804,S507, ,104
BSU13430,ykoX,221,666
BSU33210,yvrG,580,1743
BSU32860,yusN,110,333
BSU26930,yraI,144,435
BSU22710,aroF,390,1173
new27202642720343c,S998, ,80
BSU10950,yitD,252,759
BSU33660,rghR,135,408
BSUrRNA26,rrnA-5S, ,119
BSU35850,ywtE,286,861
BSU14400,fruA,635,1908
BSUmiscRNA58,tboTA, , 
BSU16390,flhA,677,2034
BSU23328,ypzJ,68,207
BSU10010,trpP,172,519
BSU22080,ypwA,501,1506
BSU06400,yebE,184,555
BSU07920,chaA,351,1056
BSU33240,oxdC,385,1158
BSU24760,rsbRD,278,837
new16054911605580,S564, ,90
BSU04460,dctR,226,681
BSU33580,yvaF,190,573
new38192133819619,S1446, ,407
BSU11710,thiD,271,816
BSU23130,resC,391,1176
BSUtRNA31,trnD-Glu, ,72
new32989303299376,S1234, ,447
BSU04010,sipU,187,564
BSU07280,yfnG,301,906
BSU25600,comER,273,822
BSU16370,fliR,259,780
BSU34720,psdR,237,714
new456926457022,S134, ,97
new31061423106209,S1159, ,68
new12536691254769,S425, ,1101
BSU27300,yrrS,233,702
BSU37130,spo0F,124,375
BSU22020,ypbS,85,258
new30602253060673c,S1146, ,449
new32924083292489c,S1229, ,82
new194669194786,S67, ,118
BSU36080,ywrF,205,618
BSU03960,ycnK,190,573
new26089122610324,S956, ,1413
BSU21900,bsaA,160,483
BSU27280,yrrT,213,642
BSU18360,galM,325,978
new967139967321,S311, ,183
BSU32500,pucB,205,618
BSU37690,bacF,399,1200
new22250942225336,S798, ,243
BSU13819,ykzS,64,195
BSU33400,yvgN,276,831
BSU03430,nucA,147,444
BSU11799,yjzK,68,207
BSU25840,phrE,44,135
new12636131263701c,S431, ,89
BSU13670,mhqR,145,438
new20023522002456c,S681, ,105
new30722873072400,S1151, ,114
BSU26240,yqaO,68,207
BSU03240,ycgQ,285,858
BSU34950,pelC,221,666
BSU37960,ywdH,457,1371
BSU19130,yocA,225,678
BSU21550,yokL,177,534
BSU11020,yitK,163,492
BSU33090,liaS,360,1083
BSU40030,yxaB,343,1032
BSU19620,ldcB,273,822
BSU38610,yxzF,52,159
BSU13110,ykkE,300,903
BSUrRNA27,rrnG-23S, ,2928
BSU09850,khtU,405,1218
BSU26660,yrdN,129,390
new22127472212847,S789, ,101
BSU16860,ymfH,428,1287
new527912528128,S167, ,217
BSU04450,dctS,535,1608
BSU17730,yndB,144,435
BSU07250,yetO,1061,3186
new23109882311968,S832, ,981
new507739508088,S155, ,350
BSU20140,yosF,41,126
BSU02060,ybxG,462,1389
BSU04060,ycsG,404,1215
BSU14570,ykyA,223,672
BSU13230,thiV,199,600
BSU00200,yaaK,107,324
BSU20000,yosU,81,246
new11179241118790,S367, ,867
new27787922778922c,S1025, ,131
new951346951431,S305, ,86
BSU36215,BSU36215, , 
BSU25150,yqfQ,247,744
BSU09720,bmrD,673,2022
BSU30780,menC,371,1116
BSU37850,spsG,339,1020
new28860442886133c,S1067, ,90
BSU32100,yumB,406,1221
BSU26569,BSU26569, , 
BSU40510,gdpP,659,1980
BSU34360,epsB,227,684
BSU38300,thiM,272,819
BSU07210,yetK,330,993
BSU00700,coaX,258,777
new12695851269672,S436, ,88
new30164053016534c,S1120, ,130
BSU06530,purD,422,1269
BSU21570,yokJ,165,498
BSU23700,yqjX,112,339
new26259132626090c,S959, ,178
BSU32230,yuxL,657,1974
BSU37760,rocC,470,1413
BSU09110,yhcJ,276,831
new33350063335393c,S1251, ,388
BSUtRNA41,trnD-Gly, ,75
new30453313045396c,S1140, ,66
new19018561902166,S643, ,311
BSU17910,yneF,72,219
new17211081721213,S589, ,106
BSU15430,ileS,921,2766
new112499112799,S46, ,301
BSU02480,ycbE,455,1368
BSU17700,cotC,66,201
BSUmiscRNA38,Gly-box, ,102
BSU30430,ytrD,325,978
BSU13169,ykzN,56,171
BSUmiscRNA92,as-bsrH, ,139
BSU02040,ybdN,285,858
BSU26449,BSU26449, , 
BSU32720,yurZ,125,378
BSU40750,yyaQ,118,357
BSU23600,yqxK,387,1164
BSU23500,drm,394,1185
BSU03520,srfAD,242,729
new34460783446175c,S1284, ,98
new11506471150849c,S383, ,203
BSU21800,ypkP,206,621
BSU40910,rpsF,95,288
BSU15960,sivC,161,486
BSU21590,yokH,185,559
BSU19780,cgeA,133,402
BSU33340,sspJ,46,141
